Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
110,Ji Dong-won\Ji-Dong-won,kr KOR,FWMF,Augsburg,27,1991,14,10,891,4,1,0,0,2,0,0.4,0.1,0.51,0.4,0.51,1.3,1.3,1.2,0.14,0.12,0.25,0.14,0.25,Matches
111,Anastasios Donis\Anastasios-Donis,gr GRE,FWMF,Stuttgart,21,1996,24,11,962,5,2,0,0,4,0,0.47,0.19,0.65,0.47,0.65,3.4,3.4,0.9,0.32,0.08,0.4,0.32,0.4,Matches
112,Aleksandar Dragović\Aleksandar-Dragovic,at AUT,DF,Leverkusen,27,1991,18,13,1335,2,0,0,0,4,0,0.13,0,0.13,0.13,0.13,0.9,0.9,0.1,0.06,0,0.06,0.06,0.06,Matches
113,Josip Drmić\Josip-Drmic,ch SUI,FW,M'Gladbach,25,1992,5,2,222,2,0,0,0,0,0,0.81,0,0.81,0.81,0.81,1.2,1.2,0,0.49,0.01,0.49,0.49,0.49,Matches
114,Jaroslav Drobný\Jaroslav-Drobny,cz CZE,GK,Düsseldorf,38,1979,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
115,Marvin Ducksch\Marvin-Ducksch,de GER,FW,Düsseldorf,24,1994,16,8,823,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,1.7,1.7,1.8,0.19,0.19,0.38,0.19,0.38,Matches
116,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Hertha BSC,23,1994,32,30,2563,11,5,0,0,7,0,0.39,0.18,0.56,0.39,0.56,6.5,6.5,4.8,0.23,0.17,0.4,0.23,0.4,Matches
117,Johannes Eggestein\Johannes-Eggestein,de GER,FWMF,Werder Bremen,20,1998,23,12,1113,4,1,0,0,0,0,0.32,0.08,0.4,0.32,0.4,3.5,3.5,1.9,0.28,0.16,0.44,0.28,0.44,Matches
118,Maximilian Eggestein\Maximilian-Eggestein,de GER,MF,Werder Bremen,21,1996,34,34,3052,5,4,0,0,4,0,0.15,0.12,0.27,0.15,0.27,3,3,4.5,0.09,0.13,0.22,0.09,0.22,Matches
119,Josip Elez\Josip-Elez,hr CRO,DF,Hannover 96,24,1994,10,7,646,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches
120,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'Gladbach,21,1996,30,30,2623,2,1,0,0,1,0,0.07,0.03,0.1,0.07,0.1,1.6,1.6,0.4,0.05,0.02,0.07,0.05,0.07,Matches
